Kommune;DepartmentID;OrgNo;Skole;Bydel;GEO
Bergen;1613;874738352;Alvøen skole;Laksevåg;460105
Bergen;1614;986171096;Apeltun skole;Fana;460103
Bergen;1617;974222078;Aurdalslia skole;Ytrebygda;460106
Bergen;1624;974738627;Bjørndalsskogen skole;Laksevåg;460105
Bergen;1625;974737817;Blokkhaugen skole;Åsane;460108
Bergen;1626;980155307;Breimyra skole;Åsane;460108
Bergen;1627;974738287;Bønes skole;Fyllingsdalen;460104
Bergen;1628;974737957;Christi Krybbe Skoler;Bergenhus;460102
Bergen;1630;974738392;Damsgård skole;Laksevåg;460105
Bergen;1633;974738554;Eidsvåg skole;Åsane;460108
Bergen;1635;976654773;Fjellsdalen skole;Fyllingsdalen;460104
Bergen;1636;974738740;Flaktveit skole;Åsane;460108
Bergen;1637;974737949;Fridalen skole;Årstad;460107
Bergen;1639;974738120;Garnes skule;Arna;460101
Bergen;1640;974738473;Garnes ungdomsskule;Arna;460101
Bergen;1642;974738015;Gimle Oppveksttun Skole;Årstad;460107
Bergen;1645;974738562;Haukedalen skole;Åsane;460108
Bergen;1646;974737930;Haukeland skole;Bergenhus;460102
Bergen;1647;974738066;Haukås skole;Åsane;460108
Bergen;1649;974737892;Hellen skole;Bergenhus;460102
Bergen;1650;874738182;Hjellestad skole;Ytrebygda;460106
Bergen;1651;974738368;Holen skole;Laksevåg;460105
Bergen;1652;874738522;Hop Oppveksttun skole;Fana;460103
Bergen;1653;974738023;Hordvik skole;Åsane;460108
Bergen;1659;974738333;Kaland skole;Fana;460103
Bergen;1660;974738503;Kalvatræet skole;Åsane;460108
Bergen;1661;974738252;Kirkevoll skole;Fana;460103
Bergen;1662;974738449;Kjøkkelvik skole;Laksevåg;460105
Bergen;1663;874222062;Kringlebotn skole;Fana;460103
Bergen;1664;974737914;Krohnengen skole;Bergenhus;460102
Bergen;1666;974738228;Krokeide skole;Fana;460103
Bergen;1668;974737922;Kronstad skole;Årstad;460107
Bergen;1669;874738042;Kyrkjekrinsen skole;Åsane;460108
Bergen;1673;974737868;Landås skole;Årstad;460107
Bergen;1677;874738662;Li skole;Åsane;460108
Bergen;1678;974738279;Liland skole;Ytrebygda;460106
Bergen;1679;974738589;Loddefjord skole;Laksevåg;460105
Bergen;1680;974738112;Lone skule;Arna;460101
Bergen;1681;974738481;Lynghaug skole;Fyllingsdalen;460104
Bergen;1682;974738406;Lyshovden Oppveksttun Avd skole;Fyllingsdalen;460104
Bergen;1684;974738538;Løvås Oppveksttun - skole;Fyllingsdalen;460104
Bergen;1686;974738376;Mathopen skole;Laksevåg;460105
Bergen;1687;974738341;Midtun skole;Fana;460103
Bergen;1688;974738295;Minde skole;Årstad;460107
Bergen;1689;974738031;Mjølkeråen skole;Åsane;460108
Bergen;1690;974737965;Møhlenpris Oppveksttun Avd skole;Bergenhus;460102
Bergen;1691;974738309;Nattland Oppveksttun - skole;Fana;460103
Bergen;1692;874737852;Nordnes skole;Bergenhus;460102
Bergen;1694;974737906;Ny Krohnborg skole;Årstad;460107
Bergen;1696;974738546;Nygårdslien skole;Laksevåg;460105
Bergen;1697;974738635;Olsvik skole;Laksevåg;460105
Bergen;1698;974738414;Ortun skole;Fyllingsdalen;460104
Bergen;1699;974738317;Paradis skole;Fana;460103
Bergen;1701;974737825;Rolland skole;Åsane;460108
Bergen;1702;874737992;Rothaugen skole;Bergenhus;460102
Bergen;1705;974738600;Rå skole;Ytrebygda;460106
Bergen;15265;992584602;Rådalslien skole;Fana;460103
Bergen;1706;974738058;Salhus skule;Åsane;460108
Bergen;1708;974737833;Sandgotna skole;Laksevåg;460105
Bergen;1710;974737841;Seljedalen skole;Fyllingsdalen;460104
Bergen;1711;974738171;Skeie skole;Ytrebygda;460106
Bergen;1712;974738260;Skjold skole;Fana;460103
Bergen;1713;979276028;Skranevatnet skole;Ytrebygda;460106
Bergen;1714;974737876;Slettebakken skole;Årstad;460107
Bergen;1715;974738457;Slåtthaug skole;Fana;460103
Bergen;1717;974738325;Smørås skole;Fana;460103
Bergen;1724;974738619;Storetveit skole;Fana;460103
Bergen;1648;974738244;Sædalen skole;Fana;460103
Bergen;1725;974737981;Sælen Oppveksttun Avd skole;Fyllingsdalen;460104
Bergen;1726;974738236;Søreide skole;Ytrebygda;460106
Bergen;1727;974739380;Søråshøgda skole;Ytrebygda;460106
Bergen;1729;974738074;Tertnes skole;Åsane;460108
Bergen;1730;974738155;Trengereid Oppveksttun Avd skule;Arna;460101
Bergen;1732;974738643;Tveiterås skole;Fana;460103
Bergen;1734;874738492;Ulsetskogen skole;Åsane;460108
Bergen;1735;974738511;Ulsmåg skole;Fana;460103
Bergen;1736;974738422;Vadmyra skole;Laksevåg;460105
Bergen;1737;974737973;Varden skole;Fyllingsdalen;460104
Bergen;1738;974738139;Ytre Arna skule;Arna;460101
Bergen;1739;974738597;Ytrebygda skole;Ytrebygda;460106
Bergen;1740;974738570;Ådnamarka skule;Arna;460101
Bergen;1745;974738465;Åstveit skole;Åsane;460108
Oslo;3101;974589648;Abildsø skole;Østensjø;030113
Oslo;3102;974589656;Ammerud skole;Grorud;030110
Oslo;3103;982254701;Apalløkka skole;Grorud;030110
Oslo;3104;974590433;Bakås skole;Alna;030112
Oslo;3106;974589664;Bekkelaget skole;Nordstrand;030114
Oslo;40522;912697711;Berg skole;Nordre Aker;030108
Oslo;3109;974589672;Bestum skole;Ullern;030106
Oslo;3111;974589680;Bjølsen skole;Sagene;030103
Oslo;3112;974590514;Bjørndal skole;Søndre Nordstrand;030115
Oslo;3113;980953602;Bjørnholt ungdomsskole;Søndre Nordstrand;030115
Oslo;3114;974590603;Bjørnsletta skole;Ullern;030106
Oslo;3115;974590441;Bjøråsen skole;Grorud;030110
Oslo;5015;987865997;Bogstad skole;Vestre Aker;030107
Oslo;3118;974589702;Bolteløkka skole;St. Hanshaugen;030104
Oslo;3119;974590581;Brannfjell skole;Nordstrand;030114
Oslo;3122;974589710;Bryn skole;Alna;030112
Oslo;40690;916513968;Brynseng skole;Gamle Oslo;030101
Oslo;3123;974589729;Bygdøy skole;Frogner;030105
Oslo;3124;974589737;Bøler skole;Østensjø;030113
Oslo;3125;879128072;Disen skole;Nordre Aker;030108
Oslo;3127;974589745;Ekeberg skole;Nordstrand;030114
Oslo;3128;974590530;Ellingsrud skole;Alna;030112
Oslo;3129;974589753;Ellingsrudåsen skole;Alna;030112
Oslo;3131;979127642;Engebråten skole;Nordre Aker;030108
Oslo;40573;913511204;Fagerborg skole;St. Hanshaugen;030104
Oslo;40685;916203993;Fernanda Nissen skole;Sagene;030103
Oslo;31732;996377210;Frydenberg skole;Grünerløkka;030102
Oslo;3137;974589761;Furuset skole;Alna;030112
Oslo;30618;995821664;Fyrstikkalleen skole;Gamle Oslo;030101
Oslo;3138;973626442;Gamlebyen skole;Gamle Oslo;030101
Oslo;3139;979927533;Godlia skole;Østensjø;030113
Oslo;40572;913511085;Granstangen skole;Stovner;030111
Oslo;3141;974589788;Grefsen skole;Nordre Aker;030108
Oslo;3144;974589699;Grindbakken skole;Vestre Aker;030107
Oslo;3145;974589796;Grorud skole;Grorud;030110
Oslo;3146;979125917;Groruddalen skole;Grorud;030110
Oslo;3147;874589802;Grünerløkka skole;Grünerløkka;030102
Oslo;3148;974590417;Hallagerbakken skole;Søndre Nordstrand;030115
Oslo;3150;974589818;Hasle skole;Grünerløkka;030102
Oslo;3151;874590452;Haugen skole;Stovner;030111
Oslo;3152;974590549;Haugenstua skole;Stovner;030111
Oslo;3153;974590557;Haugerud skole;Alna;030112
Oslo;3154;974590565;Hauketo skole;Søndre Nordstrand;030115
Oslo;3160;874589772;Holmlia skole;Søndre Nordstrand;030115
Oslo;3163;874590592;Hovseter skole;Vestre Aker;030107
Oslo;3164;974589834;Huseby skole;Vestre Aker;030107
Oslo;3165;974589842;Høybråten skole;Stovner;030111
Oslo;3166;974589850;Høyenhall skole;Østensjø;030113
Oslo;3167;974589869;Ila skole;St. Hanshaugen;030104
Oslo;3168;974590506;Jeriko skole;Alna;030112
Oslo;3169;880954342;Jordal skole;Gamle Oslo;030101
Oslo;3170;974589877;Kampen skole;Gamle Oslo;030101
Oslo;3171;979126743;Karlsrud skole;Nordstrand;030114
Oslo;3172;987131780;Kastellet skole;Nordstrand;030114
Oslo;3174;974589893;Kjelsås skole;Nordre Aker;030108
Oslo;3175;974589907;Klemetsrud skole;Søndre Nordstrand;030115
Oslo;3177;974589915;Korsvoll skole;Nordre Aker;030108
Oslo;3178;975960315;Kringsjå skole;Nordre Aker;030108
Oslo;3181;974589923;Lakkegata skole;Grünerløkka;030102
Oslo;3182;974589931;Lambertseter skole;Nordstrand;030114
Oslo;3184;874589942;Lilleaker skole;Ullern;030106
Oslo;3185;974589958;Lilleborg skole;Sagene;030103
Oslo;3186;974590468;Lindeberg skole;Alna;030112
Oslo;3187;974589966;Linderud skole;Bjerke;030109
Oslo;3188;974589974;Ljan skole;Nordstrand;030114
Oslo;3189;974590794;Lofsrud skole;Søndre Nordstrand;030115
Oslo;3190;973626450;Lusetjern skole;Søndre Nordstrand;030115
Oslo;3191;976811232;Lutvann skole;Alna;030112
Oslo;3192;974590522;Lysejordet skole;Ullern;030106
