Kommune;DepartmentID;OrgNo;Skole;Bydel
Bergen;1613;874738352;Alvøen skole;Laksevåg
Bergen;39660;999546560;Amalie Skram videregående skole;blandet
Bergen;1614;986171096;Apeltun skole;Fana
Bergen;1617;974222078;Aurdalslia skole;Ytrebygda
Bergen;1612;974737884;Bergen kompetansesenter for Læringsmiljø;blandet
Bergen;1675;974309424;Bergen Kristne grunnskole;blandet
Bergen;20042;992780010;Bjørgvin Montessoriskole;blandet
Bergen;1624;974738627;Bjørndalsskogen skole;Laksevåg
Bergen;1625;974737817;Blokkhaugen skole;Åsane
Bergen;1626;980155307;Breimyra skole;Åsane
Bergen;1627;974738287;Bønes skole;Fyllingsdalen
Bergen;1628;974737957;Christi Krybbe Skoler;Bergenhus
Bergen;1630;974738392;Damsgård skole;Laksevåg
Bergen;1633;974738554;Eidsvåg skole;Åsane
Bergen;1635;976654773;Fjellsdalen skole;Fyllingsdalen
Bergen;1636;974738740;Flaktveit skole;Åsane
Bergen;1631;973159658;Foreningen Danielsen ungdomsskole Bergen;blandet
Bergen;1637;974737949;Fridalen skole;Årstad
Bergen;1639;974738120;Garnes skule;Arna
Bergen;1640;974738473;Garnes ungdomsskule;Arna
Bergen;1642;974738015;Gimle Oppveksttun Skole;Årstad
Bergen;1645;974738562;Haukedalen skole;Åsane
Bergen;1646;974737930;Haukeland skole;Bergenhus
Bergen;1647;974738066;Haukås skole;Åsane
Bergen;1649;974737892;Hellen skole;Bergenhus
Bergen;1650;874738182;Hjellestad skole;Ytrebygda
Bergen;1651;974738368;Holen skole;Laksevåg
Bergen;1652;874738522;Hop Oppveksttun skole;Fana
Bergen;1653;974738023;Hordvik skole;Åsane
Bergen;1658;974187442;International School Of Bergen Avd skole;blandet
Bergen;1659;974738333;Kaland skole;Fana
Bergen;1660;974738503;Kalvatræet skole;Åsane
Bergen;1661;974738252;Kirkevoll skole;Fana
Bergen;1662;974738449;Kjøkkelvik skole;Laksevåg
Bergen;1663;874222062;Kringlebotn skole;Fana
Bergen;1664;974737914;Krohnengen skole;Bergenhus
Bergen;1666;974738228;Krokeide skole;Fana
Bergen;1668;974737922;Kronstad skole;Årstad
Bergen;1669;874738042;Kyrkjekrinsen skole;Åsane
Bergen;1673;974737868;Landås skole;Årstad
Bergen;1677;874738662;Li skole;Åsane
Bergen;1678;974738279;Liland skole;Ytrebygda
Bergen;1679;974738589;Loddefjord skole;Laksevåg
Bergen;1680;974738112;Lone skule;Arna
Bergen;1681;974738481;Lynghaug skole;Fyllingsdalen
Bergen;1682;974738406;Lyshovden Oppveksttun Avd skole;Fyllingsdalen
Bergen;1684;974738538;Løvås Oppveksttun - skole;Fyllingsdalen
Bergen;1686;974738376;Mathopen skole;Laksevåg
Bergen;1687;974738341;Midtun skole;Fana
Bergen;1688;974738295;Minde skole;Årstad
Bergen;1689;974738031;Mjølkeråen skole;Åsane
Bergen;1690;974737965;Møhlenpris Oppveksttun Avd skole;Bergenhus
Bergen;1610;976202422;Møllebakken skole;blandet
Bergen;1691;974738309;Nattland Oppveksttun - skole;Fana
Bergen;1692;874737852;Nordnes skole;Bergenhus
Bergen;41965;922148872;Norges Toppidrettsgymnas ungdomsskole Bergen AS;blandet
Bergen;1694;974737906;Ny Krohnborg skole;Årstad
Bergen;1696;974738546;Nygårdslien skole;Laksevåg
Bergen;1697;974738635;Olsvik skole;Laksevåg
Bergen;1698;974738414;Ortun skole;Fyllingsdalen
Bergen;1699;974738317;Paradis skole;Fana
Bergen;1701;974737825;Rolland skole;Åsane
Bergen;1702;874737992;Rothaugen skole;Bergenhus
Bergen;1703;973159232;Rudolf Steinerskolen i Bergen Skolen;blandet
Bergen;1705;974738600;Rå skole;Ytrebygda
Bergen;15265;992584602;Rådalslien skole;Fana
Bergen;1706;974738058;Salhus skule;Åsane
Bergen;1708;974737833;Sandgotna skole;Laksevåg
Bergen;1710;974737841;Seljedalen skole;Fyllingsdalen
Bergen;1711;974738171;Skeie skole;Ytrebygda
Bergen;1712;974738260;Skjold skole;Fana
Bergen;1713;979276028;Skranevatnet skole;Ytrebygda
Bergen;1714;974737876;Slettebakken skole;Årstad
Bergen;1715;974738457;Slåtthaug skole;Fana
Bergen;1717;974738325;Smørås skole;Fana
Bergen;1719;974117045;St Paul skole;blandet
Bergen;1722;973465112;Steinerskolen på Skjold Helseped Avdeling;blandet
Bergen;1629;986847367;Stiftelsen Davinci Montessoriskole;blandet
Bergen;1721;974223384;Stiftelsen Montessoriskolen i Bergen;blandet
Bergen;1723;973448889;Stiftelsen Steinerskolen på Skjold;blandet
Bergen;1724;974738619;Storetveit skole;Fana
Bergen;1648;974738244;Sædalen skole;Fana
Bergen;1725;974737981;Sælen Oppveksttun Avd skole;Fyllingsdalen
Bergen;1726;974738236;Søreide skole;Ytrebygda
Bergen;1727;974739380;Søråshøgda skole;Ytrebygda
Bergen;1729;974738074;Tertnes skole;Åsane
Bergen;1730;974738155;Trengereid Oppveksttun Avd skule;Arna
Bergen;1732;974738643;Tveiterås skole;Fana
Bergen;1734;874738492;Ulsetskogen skole;Åsane
Bergen;1735;974738511;Ulsmåg skole;Fana
Bergen;1736;974738422;Vadmyra skole;Laksevåg
Bergen;1737;974737973;Varden skole;Fyllingsdalen
Bergen;1738;974738139;Ytre Arna skule;Arna
Bergen;1739;974738597;Ytrebygda skole;Ytrebygda
Bergen;1740;974738570;Ådnamarka skule;Arna
Bergen;1745;974738465;Åstveit skole;Åsane
